category,foodCode,foodName,englishName,edible,energyKCal,protein,fat,CHO
水果类及其制品-仁果类,061208,京白梨,Bretsehneider pear,79,57,0.2,0.5,13.7
水果类及其制品-仁果类,061209,库尔勒香梨,*Kuerle* pear,91,42,0.1,0.1,13.4
水果类及其制品-仁果类,061210,莱阳梨,*Laiyang* pear,80,54,0.3,0.2,14.1
水果类及其制品-仁果类,061211,马蹄黄梨,*Snowflower* pear,74,50,0.3,0.1,12.5
水果类及其制品-仁果类,061212,明月梨,*Moon* pear,81,54,0.3,0.2,13.3
水果类及其制品-仁果类,061213,木梨,*Wood* pear,80,32,0.4,0.1,8.2
水果类及其制品-仁果类,061214,苹果梨,*Apple* pear,94,53,0.2,0.1,13.9
水果类及其制品-仁果类,061215,软梨,*Soft* pear,68,32,0.4,0.2,11.7
水果类及其制品-仁果类,061216,苏梅梨,*Sumei* pear,88,77,1.2,0.2,20.5
水果类及其制品-仁果类,061217,苏木梨,*Sumu* pear,88,52,0.6,0.3,13.1
水果类及其制品-仁果类,061218,酥梨,*Crisp* pear,72,45,0.3,0.1,11.4
水果类及其制品-仁果类,061219,酸梨,Sour pear,85,33,0.1,0.1,9.8
水果类及其制品-仁果类,061220,香梨,*Fragrant* pear,89,51,0.3,0.1,13.6
水果类及其制品-仁果类,061221,雪花梨,*Snowflower* pear,86,42,0.2,0.1,10.6
水果类及其制品-仁果类,061222,雪梨,*Snow* pear,93,79,0.9,0.1,20.2
水果类及其制品-仁果类,061223,鸭广梨,*Yaguang* pear,76,60,0.6,0.2,16.5
水果类及其制品-仁果类,061224,鸭梨,*Duck* pear,82,45,0.2,0.2,11.1
水果类及其制品-仁果类,061225,早酥梨,"*Crisp* pear, early crop",92,50,0.2,0.2,13.6
水果类及其制品-仁果类,061226,紫酥梨,*Zisu* pear,59,51,0.3,0.1,13.3
水果类及其制品-仁果类,061227,鳄梨,Avocado,100,171,2.0,15.3,7.4
水果类及其制品-仁果类,061228,冬果梨（罐头）,"*Winter fruit* pear, canned",100,56,0.3,—,15.9
水果类及其制品-仁果类,061229,梨（糖水罐头）,"Pear, canned in sugar",100,36,0.5,0.2,8.8
水果类及其制品-仁果类,061301,红果［山里红，大山楂］,"Hawthorn, large",76,102,0.5,0.6,25.1
水果类及其制品-仁果类,061302,红果（干）,"Hawthorn, large, dried",100,251,4.3,2.2,78.4
水果类及其制品-仁果类,061901,海棠果［楸子］,Crabapple,86,76,0.3,0.2,19.2
水果类及其制品-仁果类,061902,海棠（罐头）,"Crabapple, canned",100,56,0.5,0.2,13.6
水果类及其制品-仁果类,061903,沙果,Crabapple,95,70,0.4,0.1,17.8
水果类及其制品-仁果类,061904,吊蛋,"*Hanging egg* wild pear, brown-skinned",95,65,0.8,0.4,16.8
水果类及其制品-仁果类,061905,面蛋,"Wild pear, *Miandan*, only juice is consumed",60,91,1.6,0.5,21.7
水果类及其制品-仁果类,061906,酸刺,"Spinyleaf crazyweed, spine, a kind of wild fruit",16,112,2.8,0.3,25.5
水果类及其制品-仁果类,061907,蛇果,"Apple, red delicious",84,59,0.1,0.2,14.9
水果类及其制品-柑橘类,064101,橙,Orange,74,48,0.8,0.2,11.1
水果类及其制品-柑橘类,064202,福橘,*Fu* Tangerine,67,46,1.0,0.2,10.3
水果类及其制品-柑橘类,064203,橘柑子［宽皮桂］,Satsuma orange,78,44,0.8,0.1,10.2
水果类及其制品-柑橘类,064204,橘（金橘）［金枣］,Kumquat，oval,89,58,1.0,0.2,13.7
水果类及其制品-柑橘类,064205,芦橘,*Lugan* tangerine,77,44,0.6,0.2,10.3
水果类及其制品-柑橘类,064206,蜜橘,*Honey* tangerine,76,45,0.8,0.4,10.3
水果类及其制品-柑橘类,064207,三湖红橘,*Three lakes* tangerine，red-skinned,68,43,0.8,0.3,10.0
水果类及其制品-柑橘类,064208,橘（四川红橘）,*Sichuan* tangerine，rad-skinned,78,42,0.7,0.1,9.8
水果类及其制品-柑橘类,064209,小叶橘,*Small leaf* tangerine,81,40,1.1,0.2,8.8
水果类及其制品-柑橘类,064210,早橘,*Early* tangerine，early maturing,82,57,1.2,0.2,12.6
水果类及其制品-柑橘类,064211,橘饼,Tangerine，preserved in sugar,100,371,0.6,0.4,92.9
水果类及其制品-柑橘类,064301,柚［文旦］,Pomelo,69,42,0.8,0.2,9.5
水果类及其制品-柑橘类,064302,柠檬,Lemon,66,37,1.1,1.2,6.2
水果类及其制品-柑橘类,064303,葡萄柚［西柚］,Grapefruit，from Taiwan of China,73,33,0.7,0.3,7.8
水果类及其制品-柑橘类,064304,葡萄柚［西柚］,Grapefruit，from Israel,65,40,0.7,0.1,10.0
水果类及其制品-核果类,062101x,桃（代表值）,Peach,89,42,0.6,0.1,10.1
水果类及其制品-核果类,062102,白粉桃,White peach,93,26,1.3,0.1,5.5
水果类及其制品-核果类,062103,高山白桃,*Mountain* peach，white,69,42,0.7,0.2,10.1
水果类及其制品-核果类,062104,旱久保桃,*Jiubao* peach，early maturing,89,48,0.9,0.1,11.3
水果类及其制品-核果类,062105,桃（黄桃）,Yellow peach,93,56,0.5,0.1,14.0
水果类及其制品-核果类,062106,金红桃,*Golden red* peach,88,28,0.7,0.1,6.6
水果类及其制品-核果类,062107,桃（久保桃）,*Jiubao* Peach,94,42,0.6,0.1,10.0
水果类及其制品-核果类,062109,蒲桃,*Pu* peach,69,39,0.5,0.2,10.2
水果类及其制品-核果类,062110,庆丰桃,*Celebrate Harvest* peach,93,42,0.6,0.1,10.1
水果类及其制品-核果类,062111,晚桃（黄）,Peach，yellow，late maturing,75,41,0.7,0.2,9.6
水果类及其制品-核果类,062112,五月鲜桃,*May fresh* peach,93,41,0.4,0.1,10.0
水果类及其制品-核果类,062113,早桃（黄）,Peach，yellow，early maturing,73,41,0.4,0.1,10.1
水果类及其制品-核果类,062115,蜜桃,Peach，*Honey* type,88,46,0.6,0.1,11.0
水果类及其制品-核果类,062116,桃（糖水罐头）,Peach，canned in syrup,100,60,0.3,0.2,14.5
水果类及其制品-核果类,062201,李子,*Apricot* plum,91,38,0.7,0.2,8.7
水果类及其制品-核果类,062202,李子杏,*Plum* apricot,92,37,1.0,0.1,8.6
水果类及其制品-核果类,062203,梅［青梅］,Stellatehair vatica,93,34,0.9,0.9,6.2
水果类及其制品-核果类,062204,杏,Apricot,91,38,0.9,0.1,9.1
水果类及其制品-核果类,062205,杏（罐头）,Apricot，canned,100,40,0.6,0.2,9.7
水果类及其制品-核果类,062206,杏干,Apricot，dried,25,338,2.7,0.4,83.2
水果类及其制品-核果类,062207,布朗,American plum or hog plum,87,44,0.6,0.2,10.7
水果类及其制品-核果类,062208,西梅,Prune or garden plum,76,42,0.7,0.1,10.3
水果类及其制品-核果类,062301,枣（鲜）,Date,87,125,1.1,0.3,30.5
水果类及其制品-核果类,062302,枣（干）,Date，dried,80,276,3.2,0.5,67.8
水果类及其制品-核果类,062303,枣（干，大）,Date，large，dried,88,317,2.1,0.4,81.1
水果类及其制品-核果类,062304,枣（金丝小枣）,Date，*Jinsi* small,81,308,1.2,1.1,76.7
水果类及其制品-核果类,062305,乐陵枣,Date，*Leling*，small,76,233,3.3,0.6,57.9
水果类及其制品-核果类,062306,密云小枣,*Miyun* date，small,92,229,3.9,0.8,55.2
水果类及其制品-核果类,062307,黑枣（无核）［乌枣］,Dateplum persimmon，seeds removed，dried,98,234,1.7,0.3,57.3
水果类及其制品-核果类,062308,黑枣（有核）,Date，black，smoked,59,246,3.7,0.5,61.4
水果类及其制品-核果类,062309,酒枣,Date，preserved in liquor,91,148,1.6,0.2,35.7
水果类及其制品-核果类,062310,蜜枣［椰枣］,*Honey* date，deglet noor,100,333,1.3,0.2,84.4
水果类及其制品-核果类,062312,冬枣,Winter jujube,93,113,1.8,0.2,27.8
水果类及其制品-核果类,062313,小枣（干）,Date，dried,81,275,2.7,0.7,66.8
水果类及其制品-核果类,062901,酸枣,Spine date,52,300,3.5,1.5,73.3
水果类及其制品-核果类,062902,樱桃,False sour cherry,80,46,1.1,0.2,10.2
水果类及其制品-核果类,062903,樱桃（野，白刺）,Downy cherry，wild，white prickle,23,304,11.4,3.9,59.8
水果类及其制品-浆果类,063101x,葡萄（代表值）,Grape,86,45,0.4,0.3,10.3
水果类及其制品-浆果类,063102,红玫瑰葡萄,*Red rose* grape,96,42,0.4,0.2,10.7
水果类及其制品-浆果类,063103,葡萄（巨峰）,"*Giant* grape, large",84,51,0.4,0.2,12.0
水果类及其制品-浆果类,063104,葡萄（马奶子）,"*Mare's nipple* grape, green",84,41,0.5,0.4,9.1
水果类及其制品-浆果类,063105,葡萄（玫瑰香）,"*Rose fragrant* grape, rose flavored",86,52,0.4,0.4,12.1
水果类及其制品-浆果类,063106,紫葡萄,"Grape, purple",88,45,0.7,0.3,10.3
水果类及其制品-浆果类,063107,葡萄干,Raisin,100,344,2.5,0.4,83.4
水果类及其制品-浆果类,063201x,石榴（代表值）,"Pomegranate, pale green-skinned",57,72,1.3,0.2,18.5
水果类及其制品-浆果类,063202,石榴（红粉皮）,"Pomegranate, pink-skinned",57,74,1.3,0.1,19.4
水果类及其制品-浆果类,063203,石榴（玛瑙）,*Agate* pomegranate,60,72,1.6,0.2,18.4
水果类及其制品-浆果类,063204,石榴（青皮）,"Pomegranate, pale green-skinned",55,71,1.2,0.2,18.5
水果类及其制品-浆果类,063301,柿,Persimmon,87,74,0.4,0.1,18.5
水果类及其制品-浆果类,063302,荷柿,*Lotus * persimmon,98,65,0.6,0.2,17.1
水果类及其制品-浆果类,063303,磨盘柿,*Millstone* persimmon,98,79,0.7,0.1,19.6
水果类及其制品-浆果类,063304,柿饼,"Persimmon, dried",97,255,1.8,0.2,62.8
水果类及其制品-浆果类,063901x,桑葚（代表值）,Mulberry,100,57,1.7,0.4,13.8
水果类及其制品-浆果类,063902,桑葚（白）,"Mulberry, white",100,60,1.8,0.3,14.9
水果类及其制品-浆果类,063903,桑葚（红）,"Mulberry, purple",100,55,1.6,0.4,12.9
水果类及其制品-浆果类,063904,桑葚（干）,"Mulberry, dried",100,298,21.1,6.1,54.2
水果类及其制品-浆果类,063905,醋栗［灯笼果］,Gooseberry,100,46,0.9,0.6,10.2
水果类及其制品-浆果类,063906,黑醋栗［黑加仑］,Currant,100,66,1.4,0.4,15.4
水果类及其制品-浆果类,063907,沙棘,Sea buckthorn,87,120,0.9,1.8,25.5
水果类及其制品-浆果类,063908,无花果,Fig,100,65,1.5,0.1,16.0
水果类及其制品-浆果类,063909,中华猕猴桃［毛叶猕猴桃］,Chinese kiwi fruit,83,61,0.8,0.6,14.5
水果类及其制品-浆果类,063910,草莓［洋莓，凤阳草莓］,Strawberry,97,32,1.0,0.2,7.1
水果类及其制品-浆果类,063911,红提子葡萄,Grape or fox grape,86,54,0.4,0.2,13.1
水果类及其制品-浆果类,063912,无花果（干）,"Fig, dried",100,361,3.6,4.3,77.8
水果类及其制品-热带亚热带水果,065001,芭蕉［甘蕉，板蕉，牙蕉］,Plantain,68,115,1.2,0.1,28.9
水果类及其制品-热带亚热带水果,065002,菠萝［凤梨，地菠萝］,Pineapple,68,44,0.5,0.1,10.8
水果类及其制品-热带亚热带水果,065003,菠萝蜜［木菠萝］,Jackfruit flesh,43,105,0.2,0.3,25.7
水果类及其制品-热带亚热带水果,065004,刺梨［茨梨，木梨子］,Bureja gooseberry,100,63,0.7,0.1,16.9
水果类及其制品-热带亚热带水果,065005,番石榴［鸡矢果，番桃］,Guava,97,53,1.1,0.4,14.2
水果类及其制品-热带亚热带水果,065006,桂圆,Longan,50,71,1.2,0.1,16.6
水果类及其制品-热带亚热带水果,065007,桂圆（干）,Longan，dried,37,277,5.0,0.2,64.8
水果类及其制品-热带亚热带水果,065008,桂圆肉,Longan flesh,100,317,4.6,1.0,73.5
水果类及其制品-热带亚热带水果,065009,黄皮果,Wampee,59,39,1.6,0.2,9.9
水果类及其制品-热带亚热带水果,065010,荔枝,Lychee,73,71,0.9,0.2,16.6
水果类及其制品-热带亚热带水果,065011,芒果［抹猛果，望果］,Mango,60,35,0.6,0.2,8.3
水果类及其制品-热带亚热带水果,065012,木瓜［番木瓜］,Papaya,86,29,0.4,0.1,7.0
水果类及其制品-热带亚热带水果,065013,人参果,Silverweed cinquefoil,88,86,0.6,0.7,21.2
水果类及其制品-热带亚热带水果,065015,杨梅［树梅，山杨梅］,Bayberry,82,30,0.8,0.2,6.7
水果类及其制品-热带亚热带水果,065016,杨桃,Common averrhoa,88,31,0.6,0.2,7.4
水果类及其制品-热带亚热带水果,065017,椰子,Coconut,33,241,4.0,12.1,31.3
水果类及其制品-热带亚热带水果,065018,枇杷,Loquat,62,41,0.8,0.2,9.3
水果类及其制品-热带亚热带水果,065019,橄榄（白榄）,Chinese olive，white,80,57,0.8,0.2,15.1
水果类及其制品-热带亚热带水果,065020,余柑子［油柑子］,Emblic leaf flower,80,45,0.3,0.1,12.4
水果类及其制品-热带亚热带水果,065021,桂圆（干）,Longan，dried,34,319,5.6,0.2,76.2
水果类及其制品-热带亚热带水果,065022,红毛丹,Rambutan,79,82,1.0,1.2,17.5
水果类及其制品-热带亚热带水果,065023,火龙果［仙蜜果、红龙果］,Pitaya or dragon fruit,69,55,1.1,0.2,13.3
水果类及其制品-热带亚热带水果,065024,荔枝（干）,Litchi，dried,56,328,4.5,1.2,77.4
水果类及其制品-热带亚热带水果,065025,榴莲,Durian,37,150,2.6,3.3,28.3
水果类及其制品-热带亚热带水果,065026,芒果（大头）,Mango，*Datou*,68,52,0.5,0.1,12.9
水果类及其制品-热带亚热带水果,065027,木瓜［番木瓜］,Papaya,89,30,0.6,Tr,7.2
水果类及其制品-热带亚热带水果,065028,酸木瓜,sour papaya,79,41,0.3,0.2,11.1
水果类及其制品-热带亚热带水果,065029,蒲桃［香果、水石榴］,Rose apple,69,41,0.6,Tr,10.1
水果类及其制品-热带亚热带水果,065030,山竹,Mangosteen,25,72,0.4,0.2,18.0
水果类及其制品-热带亚热带水果,065031,香蕉（红皮）,Banana，red skin，from Hainan,70,86,1.1,0.2,20.8
水果类及其制品-热带亚热带水果,065032,香蕉（红皮）,Banana，red skin，from Thailand,67,81,1.1,0.2,19.7
水果类及其制品-热带亚热带水果,065033,香蕉［甘蕉］,Banana,59,93,1.4,0.2,22.0
水果类及其制品-瓜果类,066101,白金瓜,"Conomon, white-skinned",70,25,0.4,—,6.2
水果类及其制品-瓜果类,066102,白兰瓜,"Honeydew, white-skinned, light green pulp",55,23,0.6,0.1,5.3
水果类及其制品-瓜果类,066103,哈密瓜,*Hami* cantaloup,71,34,0.5,0.1,7.9
水果类及其制品-瓜果类,066104,黄河蜜瓜,*Yellow River* honey melon,56,11,0.4,Tr,4.0
水果类及其制品-瓜果类,066105,金塔寺瓜,*Jintasi* melon,81,10,0.6,0.1,2.0
水果类及其制品-瓜果类,066106,灵蜜瓜,*Lingmi* melon,71,4,0.5,0.1,0.4
水果类及其制品-瓜果类,066107,麻醉瓜,*Chamring* melon,66,17,0.7,0.1,3.6
水果类及其制品-瓜果类,066108,甜瓜［香瓜］,Casaba,78,26,0.4,0.1,6.2
水果类及其制品-瓜果类,066201x,西瓜（代表值）,Watermelon,59,31,0.5,0.3,6.8
水果类及其制品-瓜果类,066202,西瓜（京欣一号）,"Watermelon, *Jingxin #1*",59,34,0.5,Tr,8.1
水果类及其制品-瓜果类,066203,西瓜（郑州三号）,"Watermelon, *Zhengzhou #3*",59,26,0.6,0.1,5.7
水果类及其制品-瓜果类,066204,西瓜（忠于6号，黑皮）,"Watermelon, *Zhongyu #6*, dark green-skinned",64,32,0.5,0.5,6.5
水果类及其制品-瓜果类,066205,子瓜,Seed-watermelon,46,5,0.2,0.3,0.6
水果类及其制品-瓜果类,066206,小西瓜［地雷瓜］,"Water melon, small",62,30,0.8,0.1,6.7
畜肉类及其制品-其他,089001,狗肉,Dog meat,80,116,16.8,4.6,1.8
畜肉类及其制品-其他,089002,骆驼蹄,Camel leg,100,116,25.6,1.4,0.2
畜肉类及其制品-其他,089003,骆驼掌,Camel hoof,100,310,72.8,2.0,0.3
畜肉类及其制品-其他,089004,兔肉,Rabbit meat,100,102,19.7,2.2,0.9
畜肉类及其制品-其他,089005,兔肉（野）,"Hare meat, wild",100,84,16.6,2.0,0.0
畜肉类及其制品-其他,089006,鹿肉（养殖梅花鹿）,,100,92,19.7,1.3,0.3
畜肉类及其制品-牛,082101x,牛肉（代表值，fat9g）,Beef，lean and fat,100,160,20.0,8.7,0.5
畜肉类及其制品-牛,082102,牛肉（肋条）,Beef，short rib,100,123,18.6,5.4,0.0
畜肉类及其制品-牛,082103,牛肉（后腿）,Beef，round,100,106,20.9,2.0,1.1
畜肉类及其制品-牛,082104,牛肉（后腱）,Beef，hind shank,94,98,20.1,1.0,2.2
畜肉类及其制品-牛,082105,牛肉（里脊肉）［牛柳］,Beef，tenderloin,100,107,22.2,0.9,2.4
畜肉类及其制品-牛,082106,牛肉（前腿）,Beef，fore leg,100,105,19.2,1.8,2.9
畜肉类及其制品-牛,082107,牛肉（前腱）,Beef，shoulder,95,113,20.3,1.3,5.1
畜肉类及其制品-牛,082108x,牛肉（代表值，瘦，fat3g）,Beef，lean,100,113,21.3,2.5,1.3
畜肉类及其制品-牛,082109,牛蹄筋（生）,Beef，tendon，raw,100,151,34.1,0.5,2.6
畜肉类及其制品-牛,082110,牛蹄筋（泡发）,Beef，tendon，soaked in water,100,25,6.0,Tr,0.2
畜肉类及其制品-牛,082111,牛肉（背部肉）［上脑］,,100,193,17.4,12.4,3.0
畜肉类及其制品-牛,082112,牛肉（里脊肉）［牛柳］,,100,134,22.3,5.0,0.0
畜肉类及其制品-牛,082113,牛肉（臀部肉）［紫盖、白板］,,100,117,22.6,2.6,0.9
畜肉类及其制品-牛,082114,牛肉（肩部肉）［肩肉］,,100,342,14.1,31.7,0.0
畜肉类及其制品-牛,082115,牛肉（胸部肉）［牛胸］,,100,326,16.6,28.8,0.0
畜肉类及其制品-牛,082116,牛肉（腹部肉）［牛腩］,,100,332,17.1,29.3,0.0
畜肉类及其制品-牛,082117,牛肉（膝圆肉）［和尚头］,,100,106,22.4,1.8,0.1
畜肉类及其制品-牛,082118,牛肉（股内肉）［针扒、米龙、黄瓜条］,,100,119,22.8,2.9,0.4
畜肉类及其制品-牛,082119,牛肉（小腿肉）［牛展、牛腱子］,,100,122,23.0,3.3,0.0
畜肉类及其制品-牛,082120,牦牛肉,,100,119,23.1,1.4,3.4
畜肉类及其制品-牛,082121,牦牛牛腱肉（冻，鲜）,,100,100,21.2,0.8,2.0
畜肉类及其制品-牛,082122,牦牛牛霖肉（冻，鲜）,,100,110,22.5,1.0,2.7
畜肉类及其制品-牛,082201,牛鞭（泡发）,Beef，penis，soaked in water,100,117,27.2,0.9,0.0
畜肉类及其制品-牛,082202,牛大肠,Beef，large intestine,100,66,11.0,2.3,0.4
畜肉类及其制品-牛,082203,牛肚,Beef，tripe,100,72,14.5,1.6,0.0
畜肉类及其制品-牛,082204,牛肺,Beef，lung,100,95,16.5,2.5,1.5
畜肉类及其制品-牛,082205,牛肝,Beef，liver,100,139,19.8,3.9,6.2
畜肉类及其制品-牛,082206,牛脑,Beef，brain,100,149,12.5,11.0,0.1
畜肉类及其制品-牛,082207,牛舌,Beef，tongue,100,196,17.0,13.3,2.0
畜肉类及其制品-牛,082208,牛肾,Beef，kidney,89,94,15.6,2.4,2.6
畜肉类及其制品-牛,082209,牛心,Beef，heart,100,106,15.4,3.5,3.1
畜肉类及其制品-牛,082210,牛百叶（黑）,,100,70,13.2,1.9,0.0
畜肉类及其制品-牛,082301,酱牛肉,Beef，lean and fat，spiced，cooked with soy sauce,100,246,31.4,11.9,3.2
畜肉类及其制品-牛,082302,煨牛肉（罐头）,Beef，stewed，lean and fat，canned,100,166,16.7,11.0,0.1
畜肉类及其制品-牛,082303,牛肉干,Beef，dried,100,550,45.6,40.0,1.9
畜肉类及其制品-牛,082304,咖哩牛肉干,Beef，curried，dried,100,326,45.9,2.7,29.5
畜肉类及其制品-牛,082305,牛肉松,Beef floss，with salt，soy sauce and sugar,100,445,8.2,15.7,67.7
畜肉类及其制品-牛,082306,牛蹄筋（熟）,Beef，tendon，cooked,100,147,35.2,0.6,0.1
畜肉类及其制品-牛,082307,牛肉（酱，五香）,,100,229,33.2,10.7,0.0
畜肉类及其制品-牛,082308,牛肉（清香）,,100,200,25.8,10.7,0.0
畜肉类及其制品-牛,082309,牛腱子（香叶）,,100,205,35.6,5.5,3.2
畜肉类及其制品-牛,082310,牛肉干（长富牌）,,100,342,41.8,5.1,32.2
畜肉类及其制品-牛,082311,牛肉干（沙爹牌）,,100,327,40.1,3.6,33.6
畜肉类及其制品-猪,081101x,猪肉（代表值，fat30g）,Pork，lean and fat,91,331,15.1,30.1,0.0
畜肉类及其制品-猪,081102,猪肥肉（肥，fat89g）,Pork，fatty,100,807,2.4,88.6,0.0
畜肉类及其制品-猪,081103,猪肉（后臀尖）,Pork，rump,97,336,14.6,30.8,0.0
畜肉类及其制品-猪,081104,猪肉（后肘）,Pork，rear hock,73,320,17.0,28.0,0.0
畜肉类及其制品-猪,081105,猪肉（肋条肉）,Pork，spare ribs（meat only）,96,568,9.3,59.0,0.0
畜肉类及其制品-猪,081107,猪肉（奶脯）［软五花，猪夹心］,Pork，side bacon,85,349,7.7,35.3,0.0
畜肉类及其制品-猪,081108,猪肉（奶面）［硬五花］,Pork，belly bacon,79,339,13.6,30.6,2.2
畜肉类及其制品-猪,081109,猪肉（前肘）,Pork，shoulder,77,287,17.3,22.9,2.9
畜肉类及其制品-猪,081110,猪肉（瘦）,Pork，lean,100,143,20.3,6.2,1.5
畜肉类及其制品-猪,081110x,猪肉（瘦，fat8g）,,100,153,20.7,7.8,0.0
畜肉类及其制品-猪,081111,猪肉（腿）,Pork，ham,100,190,17.9,12.8,0.8
畜肉类及其制品-猪,081111x,猪肉（fat12g）,,100,181,19.0,11.7,0.2
畜肉类及其制品-猪,081112,猪肉（猪脖）,Pork，neck,90,577,8.0,60.5,0.0
畜肉类及其制品-猪,081113,猪大肠,Pork，large intestine,100,196,6.9,18.7,0.0
畜肉类及其制品-猪,081114,猪大排,Pork，spare ribs,68,264,18.3,20.4,1.7
畜肉类及其制品-猪,081115,猪耳,Pork，ear,100,176,19.1,11.1,0.0
畜肉类及其制品-猪,081116,猪蹄,Pork，trotter,60,260,22.6,18.8,0.0
畜肉类及其制品-猪,081117,猪蹄筋,Pork，tendon,100,156,35.3,1.4,0.5
畜肉类及其制品-猪,081118,猪头皮,Pork，head skin,100,499,11.8,44.6,12.7
畜肉类及其制品-猪,081120,猪肘棒,Pork，hock,67,248,16.5,16.0,9.4
畜肉类及其制品-猪,081121,猪肉（前臀尖，杜长大猪）,,100,289,15.3,25.3,0.0
畜肉类及其制品-猪,081122,猪肉（前臀尖，良杂猪）,,100,334,14.2,30.4,0.9
畜肉类及其制品-猪,081123,猪肉（后臀尖，杜长大猪）,,100,165,20.8,9.1,0.0
畜肉类及其制品-猪,081124,猪肉（后臀尖，良杂猪）,,100,175,20.0,10.5,0.0
畜肉类及其制品-猪,081125,猪肉（硬肋，杜长大猪）,,100,557,10.8,57.1,0.0
畜肉类及其制品-猪,081126,猪肉（硬肋，良杂猪）,,100,536,11.6,54.4,0.0
畜肉类及其制品-猪,081127,猪肉（通脊，杜长大猪）,,100,159,22.3,7.8,0.0
畜肉类及其制品-猪,081128,猪肉（通脊，良杂猪）,,100,140,20.7,6.4,0.0
畜肉类及其制品-猪,081129,猪肉（里脊）,,100,150,19.6,7.9,0.0
畜肉类及其制品-猪,081130,猪皮,,100,363,27.4,28.1,0.0
畜肉类及其制品-猪,081131,猪小排（杜长大猪）,,70,295,16.8,25.3,0.0
畜肉类及其制品-猪,081132,猪小排（良杂猪）,,61,351,14.1,32.7,0.0
畜肉类及其制品-猪,081133,猪腿肉（藏香猪）,,100,268,17.5,19.2,6.3
畜肉类及其制品-猪,081202,猪肚,Pork，maw,96,110,15.2,5.1,0.7
畜肉类及其制品-猪,081203,猪肺,Pork，lung,97,84,12.2,3.9,0.1
畜肉类及其制品-猪,081205,猪脑,Pork，brain,100,131,10.8,9.8,0.0
畜肉类及其制品-猪,081206,猪脾,Pork，spleen,100,94,13.2,3.2,3.1
畜肉类及其制品-猪,081209,猪肾（fat8g）［猪腰子］,,92,137,16.0,8.1,0.0
畜肉类及其制品-猪,081210,猪小肠,"Pork, small intestine",100,65,10.0,2.0,1.7
畜肉类及其制品-猪,081211,猪心,"Pork, heart",97,119,16.6,5.3,1.1
畜肉类及其制品-猪,081212,猪血,"Pork, blood",100,55,12.2,0.3,0.9
畜肉类及其制品-猪,081213,猪肚,,100,97,14.1,3.5,2.2
畜肉类及其制品-猪,081214,猪肝,,100,126,19.2,4.7,1.8
畜肉类及其制品-猪,081215,猪舌［口条］,,100,184,18.1,12.4,0.0
畜肉类及其制品-猪,081216,猪肾（fat2g）［猪腰子］,,100,82,15.8,1.8,0.6
畜肉类及其制品-猪,081302,宫爆肉丁（罐头）,"Pork, diced meat, with chili and peanuts, canned",100,353,17.7,27.6,8.4
畜肉类及其制品-猪,081303,酱汁肉,"Pork, cooked with soy sauce",96,549,15.5,50.4,8.4
畜肉类及其制品-猪,081304,腊肉（培根）,"Pork, bacon",100,181,22.3,9.0,2.6
畜肉类及其制品-猪,081305,腊肉（生，fat49g）,"Pork, cured meat, salted and smoked",100,498,11.8,48.8,2.9
畜肉类及其制品-猪,081306,卤猪杂,"pork, offal, cooked in spices and soy sauce",100,186,24.6,4.8,11.0
畜肉类及其制品-猪,081307,午餐肉（北京）,"Pork, Luncheon meat",100,229,9.4,15.9,12.0
畜肉类及其制品-猪,081308,咸肉,"Pork, cured meat, salted",100,390,16.5,36.0,0.0
畜肉类及其制品-猪,081309,猪肉罐头（珍珠里脊丝，罐头）,"Pork, tenderloin strips and glutinous rice, canned",100,225,6.7,17.3,10.5
畜肉类及其制品-猪,081310,猪肝（卤煮）,"Pork, liver, stewed with spices and soy sauce",100,203,26.4,8.3,5.6
畜肉类及其制品-猪,081311,猪肉（清蒸）,"Pork, steamed with salt and ginger",100,198,18.4,13.8,0.0
畜肉类及其制品-猪,081312,猪蹄（熟）,"Pork, trotter, cooked",43,260,23.6,17.0,3.2
畜肉类及其制品-猪,081313,猪肘棒（熟）,"Pork, hock, cooked",72,314,21.3,24.5,2.1
畜肉类及其制品-猪,081315,福建式肉松,"Pork floss, Fujian style, with salt, soy sauce and sugar",100,493,25.1,26.0,39.7
畜肉类及其制品-猪,081316,老年保健肉松,"Pork floss, for the elderly, with soy sauce and sugar",100,458,35.8,20.5,32.5
畜肉类及其制品-猪,081317,太仓肉松,"Pork floss, *Taicang*, with salt, soy sauce and sugar",100,316,38.6,8.3,21.6
畜肉类及其制品-猪,081318,火腿心全精肉（雪舫蒋牌）,,100,322,37.0,19.3,0.0
畜肉类及其制品-猪,081319,火腿心肉（生，金云牌）,,81,528,22.2,48.8,0.0
畜肉类及其制品-猪,081320,腊肉（生，fat68g）,,100,692,18.2,68.0,1.8
畜肉类及其制品-猪,081321,叉烧肉,,100,196,20.9,9.8,6.0
畜肉类及其制品-猪,081322,酱排骨,,80,366,21.7,26.7,9.6
畜肉类及其制品-猪,081323,猪肉罐头（香糟块肉）,,100,542,15.5,53.3,0.0
畜肉类及其制品-猪,081324,猪里脊（熏烤小里脊）,,100,153,17.7,3.9,11.8
畜肉类及其制品-猪,081325,猪肉脯,,100,378,28.0,8.8,46.6
畜肉类及其制品-猪,081326,肉酥,,100,509,30.7,27.1,35.5
畜肉类及其制品-猪,081328,扒猪脸,,100,347,18.8,29.6,1.4
畜肉类及其制品-猪,081329,酱肘子,,100,202,29.6,8.5,1.8
